Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class,Transport_Protocol_1,Transport_Protocol_2
0.02,0.218568665,45,48.01844964,73,406,234.3900461,434,0,1,1,1.0,1,False,True
0.71,0.218568665,43,48.01844964,71,143,234.3900461,171,0,1,1,1.0,1,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.01,0.218568665,46,48.01844964,74,246,234.3900461,274,0,1,1,1.0,1,False,True
3.0,1.5,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
3.0,1.486076555,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0.0,1,False,True
3.01,2.462196399,0,23.57119476,96,0,13.67954173,0,0,2,0,0.0,1,True,False
3.0,1.5,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
44.18,32.20285714,75,89.71428571,159,0,30.57142857,0,0,3,0,0.0,0,False,True
0.46,0.496534653,63,63.71287129,271,516,516.3663366,724,0,5,5,1.0,1,True,False
0.65,5.265,63,67.25,143,0,6873.875,80,0,2,2,1.0,0,True,False
0.48,0.48,48,48.0,104,123,123.0,151,0,2,1,0.5,1,False,True
0.0,2.15,0,121.3333333,40,0,10886.0,40,0,1,1,1.0,0,True,False
3.01,1.505,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
47.47,32.6630303,125,97.09090909,265,10,44.72727273,150,0,5,5,1.0,0,False,True
0.29,0.725262759,25,86.91753748,53,65,189.2577616,93,0,1,1,1.0,0,False,True
21.76,26.975,4,6.0,60,50,62.5,106,0,2,2,1.0,0,False,True
2.95,1.95,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.69,1.303388704,0,75.07973422,40,0,2408.475083,40,0,1,1,1.0,0,True,False
2.96,1.617311828,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
0.0,0.012398725,34,38.84084292,62,98,141.052849,0,0,1,0,0.0,1,False,True
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
22.4,25.13625,79,88.875,219,81,171.125,249,0,5,6,1.2,0,False,True
0.08,1.55969697,0,309.3939394,120,1547,8682.69697,1747,0,3,5,1.666666667,0,True,False
0.6,23.72233333,88,422.6666667,144,0,0.0,0,0,2,0,0.0,1,False,True
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
22.76,26.15333333,77,70.33333333,189,31,14.44444444,143,0,4,4,1.0,0,False,True
0.55,1.66173913,95,87.2173913,303,551,3180.869565,759,0,5,5,1.0,1,True,False
1.03,0.725262759,68,86.91753748,124,50,189.2577616,78,0,2,1,0.5,0,False,True
1.37,1.355411481,99,92.436188,307,593,9696.138956,801,0,5,5,1.0,0,True,False
22.53,32.955,79,102.5833333,219,54,55.08333333,166,0,5,4,0.8,0,False,True
0.23,0.334925373,694,679.5124378,902,639,620.920398,847,0,5,5,1.0,1,True,False
0.03,0.725262759,31,86.91753748,59,52,189.2577616,80,0,1,1,1.0,0,False,True
0.0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0.0,1,False,True
2.14,3.11649635,0,121.1094891,80,0,2850.788321,0,0,2,0,0.0,0,True,False
13.12,8.071818182,50,34.63636364,106,2,8.636363636,30,0,2,1,0.5,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.21,5.468717949,83,94.25641026,291,606,2761.884615,814,0,5,5,1.0,0,True,False
55.35,34.21178571,150,100.7142857,318,12,23.60714286,180,0,6,6,1.0,0,False,True
55.31,37.49352941,150,108.0588235,318,12,157.0588235,180,0,6,6,1.0,0,False,True
0.6,0.218568665,62,48.01844964,90,242,234.3900461,270,0,1,1,1.0,1,False,True
0.19,0.839704755,62,106.0653595,118,101,392.7018256,129,0,2,1,0.5,1,False,True
0.0,2.081,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.0,0.012398725,34,38.84084292,62,82,141.052849,0,0,1,0,0.0,1,False,True
3.01,2.982,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
4.27,4.27,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
32.92,29.57,125,97.33333333,265,240,53.5,352,0,5,4,0.8,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.0,0.0,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.27,0.27,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
2.87,2.685888689,0,14.15918612,96,0,0.0,0,0,2,0,0.0,1,True,False
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.0,0.31244186,0,0.0,60,0,0.0,80,0,1,2,2.0,1,True,False
0.32,0.218568665,46,48.01844964,74,444,234.3900461,472,0,1,1,1.0,1,False,True
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
10.21,5.905431034,236,166.2931034,564,483,4712.775862,731,0,8,6,0.75,0,True,False
3.13,2.781725516,0,10.25183211,96,0,3.656229181,0,0,2,0,0.0,1,True,False
0.71,4.923761855,69,210.5742887,125,198,5065.317176,254,0,2,2,1.0,1,False,True
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
0.19,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0.0,1,False,True
11.03,20.25214286,50,92.71428571,106,0,29.5,0,0,2,0,0.0,0,False,True
1.35,0.725262759,68,86.91753748,124,125,189.2577616,153,0,2,1,0.5,0,False,True
13.44,8.548333333,54,34.33333333,166,54,19.0,166,0,4,4,1.0,0,False,True
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.0,0.012398725,60,38.84084292,0,105,141.052849,0,0,0,0,0.0,1,False,True
0.44,0.2640539,43,35.32282745,71,157,243.6849378,185,0,1,1,1.0,0,False,True
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
23.03,22.55111111,52,156.5555556,136,403,221.3333333,543,0,3,5,1.666666667,0,False,True
0.16,0.218568665,53,48.01844964,81,192,234.3900461,220,0,1,1,1.0,0,False,True
22.63,23.865,75,105.5,159,6,20.125,90,0,3,3,1.0,0,False,True
3.01,2.462196399,0,23.57119476,96,0,13.67954173,0,0,2,0,0.0,1,True,False
3.0,1.499328859,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.85,15.63489083,168,235.4454148,248,1053,122327.0917,1093,0,2,1,0.5,1,True,False
33.89,30.20923077,100,94.23076923,212,8,44.11538462,120,0,4,4,1.0,0,False,True
0.0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0.0,1,False,True
12.02,11.1175,52,86.0,136,29,28.0,113,0,3,3,1.0,0,False,True
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
3.97,3.381473397,62,4107.40382,118,1156,5895.639836,1268,0,2,4,2.0,0,False,True
22.78,21.51181818,79,75.81818182,219,54,42.63636364,166,0,5,4,0.8,0,False,True
1.51,3.399287169,109,56.04887984,317,1111,5332.637475,1319,0,5,5,1.0,0,True,False
0.22,0.218568665,44,48.01844964,72,145,234.3900461,173,0,1,1,1.0,1,False,True
